type,row,col
Energy,10,9
Energy,10,8
Energy,10,7
Energy,10,6
Energy,10,5
Energy,10,4
Energy,10,3
Energy,10,2
Energy,10,1
Energy,10,0
Energy,9,9
Energy,9,8
Energy,9,7
Energy,9,6
Energy,9,5
Energy,9,4
Energy,9,3
Energy,9,2
Energy,9,1
Energy,9,0
Energy,8,9
Energy,8,8
Energy,8,7
Energy,8,6
Energy,8,5
Energy,8,4
Energy,8,3
Energy,8,2
Energy,8,1
Energy,8,0
Energy,7,9
Energy,7,8
Energy,7,7
Energy,7,6
Energy,7,5
Energy,7,4
Energy,7,3
Energy,7,2
Energy,7,1
Energy,7,0
Energy,6,9
Energy,6,8
Energy,6,7
Energy,6,6
Energy,6,5
Energy,6,4
Energy,6,3
Energy,6,2
Energy,6,1
Energy,6,0
Energy,5,0
Energy,5,1
Energy,5,2
Energy,5,3
Energy,5,4
Energy,5,5
Energy,5,6
Energy,5,7
Energy,5,8
Energy,5,9
Energy,4,0
Energy,4,1
Energy,4,2
Energy,4,3
Energy,4,4
Energy,4,5
Energy,4,6
Energy,4,7
Energy,4,8
Energy,4,9
Energy,3,0
Energy,3,1
Energy,3,2
Energy,3,3
Agriculture,3,4
Agriculture,3,5
Agriculture,3,6
Agriculture,3,7
Agriculture,3,8
Agriculture,3,9
Agriculture,2,0
Agriculture,2,1
Agriculture,2,2
Agriculture,2,3
Agriculture,2,4
Agriculture,2,5
Agriculture,2,6
Agriculture,2,7
Agriculture,2,8
Agriculture,2,9
Waste,1,9
Waste,1,8
Waste,1,7
Industry,1,6
Industry,1,5
Industry,1,4
Industry,1,3
Industry,1,2
Agriculture,1,1
Agriculture,1,0
