type,row,col
Industry Energy,10,9
Industry Energy,10,8
Industry Energy,10,7
Industry Energy,10,6
Industry Energy,10,5
Industry Energy,10,4
Industry Energy,10,3
Industry Energy,10,2
Industry Energy,10,1
Industry Energy,10,0
Industry Energy,9,9
Industry Energy,9,8
Industry Energy,9,7
Industry Energy,9,6
Industry Energy,9,5
Industry Energy,9,4
Industry Energy,9,3
Industry Energy,9,2
Industry Energy,9,1
Industry Energy,9,0
Building Energy,8,9
Building Energy,8,8
Building Energy,8,7
Building Energy,8,6
Building Energy,8,5
Building Energy,8,4
Industry Energy,8,3
Industry Energy,8,2
Industry Energy,8,1
Industry Energy,8,0
Building Energy,7,9
Building Energy,7,8
Building Energy,7,7
Building Energy,7,6
Building Energy,7,5
Building Energy,7,4
Building Energy,7,3
Building Energy,7,2
Building Energy,7,1
Building Energy,7,0
Transportation,6,9
Transportation,6,8
Transportation,6,7
Transportation,6,6
Transportation,6,5
Transportation,6,4
Transportation,6,3
Transportation,6,2
Building Energy,6,1
Building Energy,6,0
Transportation,5,0
Transportation,5,1
Transportation,5,2
Transportation,5,3
Transportation,5,4
Transportation,5,5
Transportation,5,6
Transportation,5,7
Unallocated,5,8
Unallocated,5,9
Unallocated,4,0
Unallocated,4,1
Unallocated,4,2
Unallocated,4,3
Unallocated,4,4
Unallocated,4,5
Leakage,4,6
Leakage,4,7
Leakage,4,8
Leakage,4,9
Leakage,3,0
Leakage,3,1
Fishing,3,2
Fishing,3,3
Livestock,3,4
Livestock,3,5
Livestock,3,6
Livestock,3,7
Livestock,3,8
Livestock,3,9
Soil,2,0
Soil,2,1
Soil,2,2
Soil,2,3
Crop Burning,2,4
Crop Burning,2,5
Crop Burning,2,6
Crop Burning,2,7
Deforestation,2,8
Deforestation,2,9
Wastewater,1,9
Landfills,1,8
Landfills,1,7
Chemical,1,6
Chemical,1,5
Cement,1,4
Cement,1,3
Cement,1,2
Rice,1,1
Cropland,1,0 
