Entity,Year,Solar,Wind,Hydropower,Other Renewables
World,1965,0,0,923.19806,17.985231
World,1966,0,0,983.81696,19.806007
World,1967,0,0,1005.7424,19.98657
World,1968,0,0,1059.2887,22.120045
World,1969,0,0,1121.7424,23.257965
World,1970,0,0,1174.6497,25.701897
World,1971,0,0,1227.2422,27.888294
World,1972,0,0,1284.629,29.888775
World,1973,0,0,1303.013,32.09585
World,1974,0,0,1431.2317,34.289085
World,1975,0,0,1448.8834,34.81208
World,1976,0,0,1443.1366,38.79105
World,1977,0,0,1491.6724,40.89204
World,1978,0,0.003,1614.3823,43.29665
World,1979,0,0.006,1695.1862,46.499256
World,1980,0,0.0105,1731.6493,49.717464
World,1981,0,0.0105,1768.9036,53.48617
World,1982,0,0.0185,1800.9081,61.708954
World,1983,0.003,0.03279495,1877.7689,68.35493
World,1984,0.006311111,0.044755556,1941.3734,76.34615
World,1985,0.011747475,0.064220205,1979.2446,78.69558
World,1986,0.015183838,0.13883132,2006.0651,85.43938
World,1987,0.01060303,0.19537677,2033.1884,91.51002
World,1988,0.01019596,0.3315798,2098.3518,94.15391
World,1989,0.26222324,2.6497767,2087.588,104.66536
World,1990,0.38834995,3.6324706,2158.854,117.21735
World,1991,0.5053229,4.086107,2208.702,122.25421
World,1992,0.4666791,4.732812,2208.4592,131.14992
World,1993,0.5566775,5.704169,2341.4597,135.47186
World,1994,0.5969829,7.13173,2356.203,140.66844
World,1995,0.63888276,8.272123,2483.6868,146.63136
World,1996,0.69922996,9.215601,2517.03,150.6927
World,1997,0.7496558,12.028216,2561.359,161.40073
World,1998,0.811852,15.92926,2581.1204,168.2064
World,1999,0.9052879,21.226898,2600.65,176.63608
World,2000,1.0594312,31.409636,2646.7285,184.89665
World,2001,1.4237884,38.380093,2578.737,192.05826
World,2002,1.7994766,52.381878,2626.306,206.70955
World,2003,2.255641,63.2847,2623.0532,218.39073
World,2004,2.9718347,85.618484,2816.6147,236.05714
World,2005,4.187687,104.62774,2911.3308,255.4333
World,2006,5.762825,133.5028,3022.2476,272.0138
World,2007,7.818763,171.5083,3072.5112,295.2423
World,2008,12.6981945,221.41554,3251.702,315.8789
World,2009,21.073503,276.79816,3246.445,339.2694
World,2010,33.912262,346.40918,3430.1318,378.83444
World,2011,65.64861,440.67798,3492.674,397.6471
World,2012,101.52152,530.5034,3641.8489,430.3208
World,2013,138.59294,635.5076,3788.1174,464.44162
World,2014,197.2615,705.8885,3889.0215,502.8774
World,2015,255.97948,831.37604,3879.4531,544.0647
World,2016,328.41495,962.1343,4014.4116,552.9557
World,2017,445.47995,1141.5242,4071.2231,588.78033
World,2018,575.76025,1269.5287,4189.757,636.2133
World,2019,705.22516,1420.624,4243.2876,667.61945
World,2020,854.37476,1593.953,4359.012,702.9823
World,2021,1059.2937,1854.1052,4288.783,751.1769
World,2022,1322.6157,2104.8396,4334.19,776.85657
